show_id,type,genre
s2404,Movie,Anime Features
s2404,Movie,International Movies
s2405,Movie,Documentaries
s2406,Movie,Horror Movies
s2407,TV Show,International TV Shows
s2407,TV Show,TV Dramas
s2407,TV Show,TV Horror
s2408,Movie,Action & Adventure
s2408,Movie,Dramas
s2408,Movie,International Movies
s2409,Movie,Dramas
s2409,Movie,International Movies
s2410,TV Show,Kids' TV
s2411,Movie,Classic Movies
s2411,Movie,Comedies
s2411,Movie,Music & Musicals
s2412,TV Show,Romantic TV Shows
s2412,TV Show,TV Comedies
s2412,TV Show,TV Dramas
s2413,TV Show,TV Comedies
s2413,TV Show,TV Dramas
s2413,TV Show,Teen TV Shows
s2414,Movie,Dramas
s2414,Movie,Independent Movies
s2415,Movie,Documentaries
s2415,Movie,International Movies
s2415,Movie,Music & Musicals
s2416,Movie,Stand-Up Comedy
s2417,Movie,Stand-Up Comedy
s2418,Movie,Dramas
s2418,Movie,Independent Movies
s2419,Movie,Comedies
s2419,Movie,International Movies
s2419,Movie,Romantic Movies
s2420,TV Show,British TV Shows
s2420,TV Show,Crime TV Shows
