show_id,type,genre
s2823,Movie,Independent Movies
s2824,Movie,Comedies
s2824,Movie,Sports Movies
s2825,Movie,Dramas
s2825,Movie,International Movies
s2825,Movie,Romantic Movies
s2826,TV Show,Crime TV Shows
s2826,TV Show,International TV Shows
s2826,TV Show,TV Dramas
s2827,Movie,Children & Family Movies
s2827,Movie,Comedies
s2828,Movie,Classic Movies
s2828,Movie,Dramas
s2828,Movie,International Movies
s2829,TV Show,Kids' TV
s2829,TV Show,TV Comedies
s2830,Movie,Children & Family Movies
s2830,Movie,Comedies
s2831,Movie,Comedies
s2831,Movie,Independent Movies
s2831,Movie,International Movies
s2832,Movie,Horror Movies
s2832,Movie,Thrillers
s2833,TV Show,TV Dramas
s2833,TV Show,TV Thrillers
s2834,Movie,Horror Movies
s2835,Movie,Documentaries
s2836,Movie,Comedies
s2836,Movie,Independent Movies
s2836,Movie,International Movies
s2837,Movie,Comedies
s2838,Movie,Action & Adventure
s2838,Movie,Sci-Fi & Fantasy
s2839,Movie,Documentaries
s2839,Movie,Music & Musicals
s2840,Movie,Children & Family Movies
s2840,Movie,Comedies
s2841,Movie,Comedies
s2842,Movie,Comedies
s2843,Movie,Documentaries
s2843,Movie,International Movies
s2844,TV Show,Crime TV Shows
s2844,TV Show,Docuseries
s2845,TV Show,Crime TV Shows
s2845,TV Show,TV Dramas
s2845,TV Show,TV Mysteries
s2846,Movie,Comedies
s2846,Movie,International Movies
s2846,Movie,Romantic Movies
s2847,TV Show,British TV Shows
s2847,TV Show,International TV Shows
s2847,TV Show,Reality TV
s2848,Movie,Dramas
s2848,Movie,Romantic Movies
s2849,TV Show,International TV Shows
s2849,TV Show,TV Comedies
s2849,TV Show,TV Dramas
s2850,TV Show,Crime TV Shows
s2850,TV Show,International TV Shows
s2850,TV Show,TV Comedies
s2851,Movie,Documentaries
s2852,Movie,Children & Family Movies
s2853,Movie,Documentaries
s2854,Movie,Classic Movies
s2854,Movie,Dramas
s2854,Movie,Independent Movies
s2855,Movie,Dramas
s2855,Movie,International Movies
s2856,Movie,Comedies
s2856,Movie,Horror Movies
s2857,TV Show,TV Comedies
s2858,Movie,Children & Family Movies
s2858,Movie,Dramas
s2859,Movie,Action & Adventure
s2859,Movie,Sci-Fi & Fantasy
s2860,Movie,Classic Movies
s2860,Movie,Dramas
s2860,Movie,International Movies
s2861,Movie,Dramas
s2861,Movie,International Movies
s2861,Movie,Music & Musicals
s2862,Movie,Documentaries
s2863,Movie,International Movies
s2863,Movie,Music & Musicals
s2863,Movie,Romantic Movies
s2864,Movie,Comedies
s2864,Movie,International Movies
s2864,Movie,Romantic Movies
s2865,TV Show,International TV Shows
s2865,TV Show,Romantic TV Shows
s2865,TV Show,TV Dramas
s2866,Movie,Horror Movies
s2866,Movie,Independent Movies
s2866,Movie,International Movies
s2867,Movie,Action & Adventure
s2867,Movie,Comedies
s2867,Movie,Dramas
s2868,Movie,Action & Adventure
s2869,Movie,Dramas
s2869,Movie,International Movies
s2870,TV Show,Anime Series
s2870,TV Show,International TV Shows
s2871,Movie,Action & Adventure
s2871,Movie,Independent Movies
s2872,Movie,Comedies
s2872,Movie,International Movies
s2872,Movie,Romantic Movies
s2873,TV Show,British TV Shows
s2873,TV Show,Docuseries
s2874,TV Show,Kids' TV
s2875,Movie,Comedies
s2875,Movie,Independent Movies
s2875,Movie,LGBTQ Movies
s2876,Movie,Comedies
s2876,Movie,Independent Movies
s2876,Movie,LGBTQ Movies
s2877,Movie,Comedies
s2877,Movie,International Movies
